AREA_NAME,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,ASSAULT_RATE_2023
Victoria Village,28.37845421,34.05801392,22.66545868,28.00649834,16.55355072,21.84717941,27.20200157,27.24498749,16.25223541,59.16523361,18592,785.2839966
Banbury-Don Mills,36.20957947,50.64573288,39.67251968,17.67596436,27.64722061,54.29802704,23.49308586,26.68890762,39.5087738,45.09292221,31047,425.1618652
Bridle Path-Sunnybrook-York Mills,87.28859711,32.4569931,53.55039215,52.32314682,40.80383682,29.93115807,59.05511856,9.760858536,57.63135147,74.71747589,10707,448.3048401
St.Andrew-Windfields,54.56430435,76.81755829,49.54582977,37.88083649,31.78808022,36.47352982,20.65262222,36.03974533,61.01901627,59.39123917,20205,287.0576477
Bedford Park-Nortown,42.44121933,59.60744095,29.83547783,54.52105331,28.79355049,72.96311188,40.25440598,16.07135773,31.81800079,50.81499481,25583,203.2599792
Lansing-Westgate,24.92056656,30.65415955,24.09493446,65.39055634,35.02218246,57.58378601,45.79541016,28.63032532,68.13536072,44.76275635,17872,497.9856873
Willowdale West,24.10509872,35.47357178,23.14279175,22.6423645,33.11075592,48.63550568,47.97953033,47.59135056,46.81404495,56.27750015,19546,588.3556519
Newtonbrook West,28.88742065,41.19464493,24.61437416,68.71463013,35.77391052,43.14740753,35.07404709,35.06311417,50.21243668,53.30287552,26265,761.4696655
Westminster-Branson,11.25745773,18.70767403,26.06687927,14.76014805,14.6044035,3.62200737,21.71631241,25.46751022,39.89844131,25.23250008,27742,428.9524841
Bathurst Manor,12.53211308,12.51877785,24.92211914,30.73896408,24.16626358,29.81692314,41.53316879,5.929791451,35.30865479,23.1816864,17255,509.9971008
Clanton Park,30.72951889,36.17945099,35.42121887,28.90006447,50.7614212,22.13123894,27.32837868,38.02281189,53.53032303,57.62480927,19089,701.9749756
Englemount-Lawrence,17.8078537,8.903530121,31.0807209,43.72922897,30.07002068,29.61208153,33.61344528,37.75326157,12.47038269,28.61230278,24465,510.9339905
Yorkdale-Glen Park,159.0924835,103.9356995,179.8312378,154.4142303,129.9798584,189.6213837,111.3654633,127.9161835,238.5353851,254.9542236,17258,1199.443726
Brookhaven-Amesbury,27.16210365,43.67765808,5.468365669,37.98979568,59.04455185,64.01365662,53.36748886,26.83411217,42.84490204,48.03073883,18738,885.9003296
Maple Leaf,NA,39.28501129,NA,19.50268173,38.48744202,28.53609848,18.96993256,28.5496769,28.41178131,9.456264496,10575,472.8132324
Rustic,9.896091461,9.942334175,29.90430641,9.866798401,19.50648499,9.670244217,38.63241196,NA,48.32785797,19.22337532,10404,855.4401855
York University Heights,104.0907669,160.4912415,133.1231384,131.5880585,126.4524918,104.9602203,141.8727264,108.4341431,198.9747772,133.7926941,29897,1368.030273
Glenfield-Jane Heights,22.11201286,22.3420887,28.94635201,22.29157448,34.60098648,37.42281723,59.14397049,21.88047028,34.24230957,83.71833801,32251,1013.922058
Broadview North,NA,16.80813599,16.8491993,8.358408928,8.267195702,8.203445435,49.21663666,8.244023323,24.68526268,24.59016418,12200,663.9344482
Leaside-Bennington,52.20720291,29.18344688,17.57984161,23.13877487,17.06678772,39.31700897,33.5270462,16.78603363,16.64816856,49.49134064,18185,208.9634247
Thorncliffe Park,43.05190277,28.32192612,51.13900375,41.35459137,18.15623474,22.4820137,17.92516327,NA,44.71672058,35.54291916,22508,568.6867065
O'Connor-Parkview,57.77007675,31.52419472,31.44159698,10.37290573,30.7031002,35.50775909,50.64060211,10.15383053,45.49360657,30.14923859,19901,668.3081055
Henry Farm,27.30748177,19.40366173,6.128201962,51.85825348,27.12673569,66.81743622,29.49272537,28.44275856,45.35970306,43.89430237,22782,469.6690369
Bayview Village,38.96926117,42.52705383,22.84565544,31.09314537,30.16201401,50.37571716,49.42746353,36.59280396,23.8986702,70.0798111,25685,533.3852539
Newtonbrook East,6.143260956,37.16551208,31.16429901,55.30293655,24.12254333,53.45052719,59.02839279,47.16703033,52.57623672,86.51516724,17338,501.7879944
